symbol,timeframe,rows,first_ts,last_ts,first_iso,last_iso,expected,coverage,fresh,ok,status
AVAAIUSDT,1h,5398,1737118800000,1755266400000,,,8760,0.6162,1,0,LOW_COVERAGE
AVAAIUSDT,30m,10494,1737118800000,1755266400000,,,17520,0.599,1,0,LOW_COVERAGE
AVAAIUSDT,5m,62353,1737119700000,1755267900000,,,105120,0.5932,1,0,LOW_COVERAGE
AVAUSDT,15m,24146,1734094800000,1755267300000,,,35040,0.6891,1,0,LOW_COVERAGE
AVAUSDT,1h,6238,1734094800000,1755266400000,,,8760,0.7121,1,0,LOW_COVERAGE
AVAUSDT,30m,12174,1734094800000,1755266400000,,,17520,0.6949,1,0,LOW_COVERAGE
AVAUSDT,5m,72436,1734094800000,1755267900000,,,105120,0.6891,1,0,LOW_COVERAGE
AVAXUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
AVAXUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
AVAXUSDT,30m,17719,1723726800000,1755268200000,,,17520,1.0114,1,1,OK
AVAXUSDT,5m,106314,1723725900000,1755267900000,,,105120,1.0114,1,1,OK
AWEUSDT,15m,8902,1747814400000,1755267300000,,,35040,0.2541,1,0,LOW_COVERAGE
AWEUSDT,1h,2427,1747814400000,1755266400000,,,8760,0.2771,1,0,LOW_COVERAGE
AWEUSDT,30m,4552,1747814400000,1755266400000,,,17520,0.2598,1,0,LOW_COVERAGE
AWEUSDT,5m,26704,1747814400000,1755267900000,,,105120,0.254,1,0,LOW_COVERAGE
AXLUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
AXLUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
AXLUSDT,30m,17719,1723726800000,1755268200000,,,17520,1.0114,1,1,OK
AXLUSDT,5m,106314,1723725900000,1755267900000,,,105120,1.0114,1,1,OK
AXSUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
AXSUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
AXSUSDT,30m,17719,1723726800000,1755268200000,,,17520,1.0114,1,1,OK
AXSUSDT,5m,106314,1723725900000,1755267900000,,,105120,1.0114,1,1,OK
B2USDT,15m,10320,1746538200000,1755267300000,,,35040,0.2945,1,0,LOW_COVERAGE
B2USDT,1h,2782,1746536400000,1755266400000,,,8760,0.3176,1,0,LOW_COVERAGE
B2USDT,30m,5261,1746538200000,1755266400000,,,17520,0.3003,1,0,LOW_COVERAGE
B2USDT,5m,30958,1746538200000,1755267900000,,,105120,0.2945,1,0,LOW_COVERAGE
B3USDT,15m,18201,1739446200000,1755268200000,,,35040,0.5194,1,0,LOW_COVERAGE
B3USDT,1h,4752,1739444400000,1755266400000,,,8760,0.5425,1,0,LOW_COVERAGE
B3USDT,30m,9202,1739446200000,1755268200000,,,17520,0.5252,1,0,LOW_COVERAGE
B3USDT,5m,54599,1739446200000,1755268200000,,,105120,0.5194,1,0,LOW_COVERAGE
BABYUSDT,15m,13297,1743859800000,1755268200000,,,35040,0.3795,1,0,LOW_COVERAGE
BABYUSDT,1h,3526,1743858000000,1755266400000,,,8760,0.4025,1,0,LOW_COVERAGE
BABYUSDT,30m,6750,1743859800000,1755268200000,,,17520,0.3853,1,0,LOW_COVERAGE
BABYUSDT,5m,39887,1743859800000,1755268200000,,,105120,0.3794,1,0,LOW_COVERAGE
BAKEUSDT,15m,35439,1723725900000,1755268200000,,,35040,1.0114,1,1,OK
BAKEUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
BAKEUSDT,30m,17719,1723726800000,1755268200000,,,17520,1.0114,1,1,OK
BAKEUSDT,5m,106315,1723725900000,1755268200000,,,105120,1.0114,1,1,OK
BANANAS31USDT,15m,14658,1742634900000,1755268200000,,,35040,0.4183,1,0,LOW_COVERAGE
BANANAS31USDT,1h,3866,1742634000000,1755266400000,,,8760,0.4413,1,0,LOW_COVERAGE
BANANAS31USDT,30m,7431,1742634000000,1755268200000,,,17520,0.4241,1,0,LOW_COVERAGE
BANANAS31USDT,5m,43970,1742634900000,1755268200000,,,105120,0.4183,1,0,LOW_COVERAGE
BANANAUSDT,15m,35439,1723725900000,1755268200000,,,35040,1.0114,1,1,OK
BANANAUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
BANANAUSDT,30m,17719,1723726800000,1755268200000,,,17520,1.0114,1,1,OK
