表名,起始日期,结束日期,覆盖天数,目标天数,达标率(%),是否达标,总行数
MANAUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8806
MELANIAUSDT_1d,2025-01-20,2025-08-14,207,365,56.7,❌,210
MERLUSDT_5m,2025-05-29,2025-08-15,79,365,21.6,❌,24032
MERLUSDT_15m,2025-05-29,2025-08-15,79,365,21.6,❌,8339
MERLUSDT_30m,2025-05-29,2025-08-15,79,365,21.6,❌,4270
MERLUSDT_1h,2025-05-29,2025-08-15,79,365,21.6,❌,4246
MERLUSDT_2h,2025-05-29,2025-08-15,79,365,21.6,❌,993
MERLUSDT_4h,2025-05-29,2025-08-15,79,365,21.6,❌,1862
MAVUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35241
MERLUSDT_1d,2025-05-29,2025-08-14,78,365,21.4,❌,365
