symbol,tf,rows,last_ts,stale_min,gaps,status
AUSDT,5m,23694,1755315300000,2.6,0,OK
AUSDT,15m,7899,1755315000000,7.7,0,OK
AUSDT,30m,3950,1755315000000,7.7,1,GAPS
AUSDT,1h,1976,1755313200000,37.7,1,STALE
AUSDT,2h,989,1755309600000,97.7,1,STALE
AUSDT,4h,495,1755302400000,217.7,1,STALE
AUSDT,1d,81,1755302400000,217.7,0,STALE
AVAAIUSDT,5m,61359,1755315300000,2.7,0,OK
AVAAIUSDT,15m,20454,1755315000000,7.7,0,OK
AVAAIUSDT,30m,10228,1755315000000,7.7,1,GAPS
AVAAIUSDT,1h,5115,1755313200000,37.7,1,STALE
AVAAIUSDT,2h,2559,1755309600000,97.7,1,STALE
AVAAIUSDT,4h,1264,1755302400000,217.7,0,STALE
AVAAIUSDT,1d,212,1755302400000,217.7,0,STALE
AVAUSDT,5m,71442,1755315300000,2.7,0,OK
AVAUSDT,15m,23815,1755315000000,7.7,0,OK
AVAUSDT,30m,11908,1755315000000,7.7,1,GAPS
AVAUSDT,1h,5955,1755313200000,37.7,1,STALE
AVAUSDT,2h,2979,1755309600000,97.7,1,STALE
AVAUSDT,4h,1474,1755302400000,217.7,0,STALE
AVAUSDT,1d,247,1755302400000,217.7,0,STALE
AVAXUSDT,5m,105320,1755315300000,2.7,0,OK
AVAXUSDT,15m,35107,1755315000000,7.7,0,OK
AVAXUSDT,30m,17554,1755315000000,7.7,0,OK
AVAXUSDT,1h,8775,1755313200000,37.7,0,STALE
AVAXUSDT,2h,4387,1755309600000,97.7,0,STALE
AVAXUSDT,4h,2193,1755302400000,217.7,0,STALE
AVAXUSDT,1d,366,1755302400000,217.7,0,STALE
AWEUSDT,5m,25710,1755315300000,2.7,0,OK
AWEUSDT,15m,8571,1755315000000,7.7,0,OK
AWEUSDT,30m,4286,1755315000000,7.7,1,GAPS
AWEUSDT,1h,2144,1755313200000,37.7,1,STALE
AWEUSDT,2h,1073,1755309600000,97.7,1,STALE
AWEUSDT,4h,537,1755302400000,217.7,1,STALE
AWEUSDT,1d,88,1755302400000,217.7,0,STALE
AXLUSDT,5m,105320,1755315300000,2.7,0,OK
AXLUSDT,15m,35107,1755315000000,7.7,0,OK
AXLUSDT,30m,17554,1755315000000,7.7,0,OK
AXLUSDT,1h,8775,1755313200000,37.7,0,STALE
AXLUSDT,2h,4387,1755309600000,97.7,0,STALE
AXLUSDT,4h,2193,1755302400000,217.7,0,STALE
